Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,Untis 2021
Mi-5,,,,,SP,Blö,H1,,,,,
Mi-6,,,,,,,,,,,,
Mi-7,,,,,LZ,Sche,3.06,,,,,
Mi-8,L7a,KsK,3.05,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,3.01
Mi-9,,,,,sozL,Schö,3.06,,,,,
Do-1,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Do-2,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Do-3,,,,,EK,Schö,3.06,,,,,
Do-4,,,,,LZ,Schö,3.06,,,,,
Do-5,,,,,SP,Blö,H1,,,,,
Do-6,,,,,SP,Blö,H1,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,KR,Flo,3.06,ER,Fm,3.13,,,
Do-9,,,,KR,Flo,3.06,ER,Fm,7.07,,,
Fr-1,,,,,EK,Schö,3.06,,,,,
Fr-2,L7a,KsK,3.04,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Fr-3,,,,,CH,Bo,8.02,,,,,
Fr-4,,,,,CH,Bo,8.02,,,,,
Fr-5,,,,,E5,Gi,3.06,,,,,
Fr-6,,,,,E5,Gi,3.06,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,,Stundenplan 2020/21,,,,,,,,,,,,,,,,Untis 2021,,
"D-48346, Loburg 15",,,,,,,,,,,,,,,,,,16.8.2021 14:51,,
,,,,,,,,,8a Kr/Sr,,,,,,,,,,,
Mo-1,,,,,,,,,E5,Bau,3.03,,,,,,,,,
Mo-2,,,,,,,,,E5,Bau,3.03,,,,,,,,,
Mo-3,,,,,,,,,KU,Gan,7.09,,,,,,,,,
Mo-4,,,,,,,,,KU,Gan,7.09,,,,,,,,,
Mo-5,,,,LZJA,Bm,3.03,LZJB,Gh,3.11,spMB,Bk,H2,spMA,Sad,H1,,,,,
Mo-6,,,,,,,,D,,Sr,3.03,,,,,,,,,
Mo-7,,,,,,,,,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,,,,,,,,,
Di-1,,,,phMA,Ah,8.07,phMB,Me,8.09,spJA,Sr,H1,spJB,Stü,H2,,,,,
Di-2,,,,phMA,Ah,8.07,phMB,Me,8.09,spJA,Sr,H1,spJB,Stü,H2,,,,,
Di-3,,,,spMA,Sad,H1,spMB,Bk,H2,phJA,So,8.09,phJB,Fw,8.07,,,,,
Di-4,,,,spMA,Sad,H1,spMB,Bk,H2,phJA,So,8.09,phJB,Fw,8.07,,,,,
Di-5,,,,,,,,,E5,Bau,3.03,,,,,,,,,
Di-6,,,,,,,,,,,,,,,,,,,,
Di-7,Förde,X,LZ 1,Fm,3.03,LZ 1,Na,3.11,LZoff,Ker,3.22,Mathe,Ra,6.02,Deuts,Frö,3.13,Fplus,Bau,3.14
,Lplus,Bi,3.15,Progr,Ah,6.03,Schül,Her,SInf,Schul,Jun,3.27,,,,,,,,
Di-8,,,,L6A,Bm,3.03,L6B,Wan,3.23,F6A,Gh,3.22,F6B,Vs,7.07,,,,,
Di-9,,,,L6A,Bm,3.03,L6B,Wan,3.23,F6A,Gh,3.22,F6B,Vs,7.07,,,,,
Mi-1,,,,,,,,BI,,Sun,8.1,,,,,,,,,
Mi-2,,,,,,,,BI,,Sun,8.1,,,,,,,,,
Mi-3,,,,,,,,,CH,Kna,8.04,,,,,,,,,
Mi-4,,,,,,,,,CH,Kna,8.04,,,,,,,,,
Mi-5,,,,,,,,M,,Kr,3.03,,,,,,,,,
Mi-6,,,,,,,,,,,,,,,,,,,,
Mi-7,Förde,X,LZ 2a,Gi,3.03,LZ 2,Bä,3.11,LZ of,Rak,3.22,LZ of,Schr,6.02,Mathe,San,2.02,E plu,Na,3.14
,E plu,Bau,3.15,TT 2,Ra,H3,kuP2,Mus,7.09,chemi,Su,8.04,,,,,,,,
Mi-8,,,,,,,,,GE,Ker,3.03,,,,,,,,,
Mi-9,,,,,,,,,GE,Ker,3.03,,,,,,,,,
Do-1,,,,,,,,,CH,Kna,8.04,,,,,,,,,
Do-2,,,,,,,,,CH,Kna,8.04,,,,,,,,,
Do-3,,,,L6A,Bm,3.03,L6B,Wan,3.23,F6A,Gh,3.22,F6B,Vs,7.07,,,,,
Do-4,,,,L6A,Bm,3.03,L6B,Wan,3.23,F6A,Gh,3.22,F6B,Vs,7.07,,,,,
Do-5,,,,,,,,,E5,Bau,3.03,,,,,,,,,
Do-6,,,,,,,,,,,,,,,,,,,,
Do-7,,,,spJA,Sr,H1,spJB,Stü,H2,LZMA,Brb,3.03,LZMB,Wi,3.11,,,,,
Do-8,,,,,,,KR,Bi,3.03,ER,Schr,1.03,,,,,,,,
Do-9,,,,,,,KR,Bi,3.03,ER,Schr,1.03,,,,,,,,
Fr-1,,,,,,,,D,,Sr,3.03,,,,,,,,,
Fr-2,,,,,,,,D,,Sr,3.03,,,,,,,,,
Fr-3,,,,,,,,M,,Kr,3.03,,,,,,,,,
Fr-4,,,,,,,,M,,Kr,3.03,,,,,,,,,
Fr-5,,,,LZJA,Bm,3.03,LZJB,Gh,3.11,spMB,Bk,H3,spMA,Sad,H1,,,,,
Fr-6,,,,spJA,Sr,H1,spJB,Stü,H2,LZMA,Brb,3.03,LZMB,Wi,3.11,,,,,
Fr-7,,,,,,,,,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Stundenplan21_22neu,,,,,,,,,,,,
Gymnasium Johanneum Ostbevern,,Stundenplan 2020/21,,,,,,,,,,,,,,,,Untis 2021,,
"D-48346, Loburg 15",,,,,,,,,,,,,,,,,,16.8.2021 14:51,,
,,,,,,,,8bWeb/Dr. Pickel,,,,,,,,,,,,
Mo-1,,,,,,,,,GeBil,Web,3.11,,,,,,,,,
Mo-2,,,,,,,,,GeBil,Web,3.11,,,,,,,,,
Mo-3,,,,,,,,,E5,Web,3.11,,,,,,,,,
Mo-4,,,,,,,,,E5,Web,3.11,,,,,,,,,
Mo-5,,,,LZJA,Bm,3.03,LZJB,Gh,3.11,spMB,Bk,H2,spMA,Sad,H1,,,,,
Mo-6,,,,,,,,,CH,Pi,8.04,,,,,,,,,
Mo-7,,,,,,,,,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,,,,,,,,,
Di-1,,,,phMA,Ah,8.07,phMB,Me,8.09,spJA,Sr,H1,spJB,Stü,H2,,,,,
Di-2,,,,phMA,Ah,8.07,phMB,Me,8.09,spJA,Sr,H1,spJB,Stü,H2,,,,,
Di-3,,,,spMA,Sad,H1,spMB,Bk,H2,phJA,So,8.09,phJB,Fw,8.07,,,,,
Di-4,,,,spMA,Sad,H1,spMB,Bk,H2,phJA,So,8.09,phJB,Fw,8.07,,,,,
Di-5,,,,,,,,D,,Wi,3.11,,,,,,,,,
Di-6,,,,,,,,,,,,,,,,,,,,
Di-7,Förde,X,LZ 1,Fm,3.03,LZ 1,Na,3.11,LZoff,Ker,3.22,Mathe,Ra,6.02,Deuts,Frö,3.13,Fplus,Bau,3.14
,Lplus,Bi,3.15,Progr,Ah,6.03,Schül,Her,SInf,Schul,Jun,3.27,,,,,,,,
